geoid,Region,State,age,season,MMWR Year/Week,Deaths from influenza,Deaths from pneumonia,Deaths from pneumonia and influenza,All Deaths,Pecent of deaths due to pneumonia or influenza,pecent complete
National,NA,NA,All,2009-10,200940,150,3491,3641,46519,7.8269094349,97.771098898
National,NA,NA,All,2009-10,200941,174,3717,3891,46582,8.353011893,97.903508864
National,NA,NA,All,2009-10,200942,239,3849,4088,47581,8.5916647401,100.00315262
National,NA,NA,All,2009-10,200943,295,3775,4070,46573,8.7389689305,97.884593155
National,NA,NA,All,2009-10,200944,300,3865,4165,47467,8.7745170329,99.763553631
National,NA,NA,All,2009-10,200945,268,3937,4205,47429,8.865883742,99.683687302
National,NA,NA,All,2009-10,200946,209,3729,3938,46629,8.4453880632,98.002290903
National,NA,NA,All,2009-10,200947,180,3661,3841,46526,8.2555990199,97.785811116
National,NA,NA,All,2009-10,200948,127,3785,3912,47905,8.166162196,100.68411816
National,NA,NA,All,2009-10,200949,105,3984,4089,49392,8.2786686103,103.80941372
National,NA,NA,All,2009-10,200950,84,3999,4083,49216,8.2960825748,103.43950651
National,NA,NA,All,2009-10,200951,64,3841,3905,49213,7.9348952513,103.43320127
National,NA,NA,All,2009-10,200952,47,4325,4372,49833,8.7733028315,104.73628348
National,NA,NA,All,2009-10,201001,37,4464,4501,51474,8.7442203831,108.18524785
National,NA,NA,All,2009-10,201002,39,4494,4533,51453,8.8099819253,108.14111119
National,NA,NA,All,2009-10,201003,28,4323,4351,49996,8.7026962157,105.078868
National,NA,NA,All,2009-10,201004,29,4081,4110,48509,8.4726545589,101.95357244
National,NA,NA,All,2009-10,201005,27,4089,4116,49127,8.3782848535,103.25245116
National,NA,NA,All,2009-10,201006,38,4132,4170,50182,8.3097525009,105.46979266
National,NA,NA,All,2009-10,201007,23,4239,4262,50532,8.4342594791,106.20540359
National,NA,NA,All,2009-10,201008,30,4297,4327,50227,8.6148884066,105.56437121
