geoid,region,age,week,year,season_start,flu,pneumonia,all_deaths
National,NA,All,40,2009,2009,150,3491,46519
National,NA,All,41,2009,2009,174,3717,46582
National,NA,All,42,2009,2009,239,3849,47581
National,NA,All,43,2009,2009,295,3775,46573
National,NA,All,44,2009,2009,300,3865,47467
National,NA,All,45,2009,2009,268,3937,47429
National,NA,All,46,2009,2009,209,3729,46629
National,NA,All,47,2009,2009,180,3661,46526
National,NA,All,48,2009,2009,127,3785,47905
National,NA,All,49,2009,2009,105,3984,49392
National,NA,All,50,2009,2009,84,3999,49216
National,NA,All,51,2009,2009,64,3841,49213
National,NA,All,52,2009,2009,47,4325,49833
National,NA,All,01,2010,2009,37,4464,51474
National,NA,All,02,2010,2009,39,4494,51453
National,NA,All,03,2010,2009,28,4323,49996
National,NA,All,04,2010,2009,29,4081,48509
National,NA,All,05,2010,2009,27,4089,49127
National,NA,All,06,2010,2009,38,4132,50182
National,NA,All,07,2010,2009,23,4239,50532
National,NA,All,08,2010,2009,30,4297,50227
National,NA,All,09,2010,2009,28,4345,50389
National,NA,All,10,2010,2009,30,4384,50268
National,NA,All,11,2010,2009,29,4240,49355
National,NA,All,12,2010,2009,25,4092,48346
National,NA,All,13,2010,2009,28,3992,48873
National,NA,All,14,2010,2009,14,3988,47820
National,NA,All,15,2010,2009,13,3730,47134
National,NA,All,16,2010,2009,9,3573,46653
National,NA,All,17,2010,2009,7,3610,46361
National,NA,All,18,2010,2009,8,3536,46315
National,NA,All,19,2010,2009,4,3467,46398
National,NA,All,20,2010,2009,3,3417,45593
National,NA,All,21,2010,2009,2,3258,45567
National,NA,All,22,2010,2009,4,3253,45234
National,NA,All,23,2010,2009,5,3309,45026
National,NA,All,24,2010,2009,2,3177,45197
National,NA,All,25,2010,2009,3,3146,44703
National,NA,All,26,2010,2009,4,3151,44730
National,NA,All,27,2010,2009,3,3220,45657
National,NA,All,28,2010,2009,5,3122,44927
National,NA,All,29,2010,2009,3,3094,44694
National,NA,All,30,2010,2009,3,2964,44350
National,NA,All,31,2010,2009,1,3033,44793
National,NA,All,32,2010,2009,5,2931,44469
National,NA,All,33,2010,2009,3,3016,44461
National,NA,All,34,2010,2009,2,2902,44400
National,NA,All,35,2010,2009,2,3057,44406
National,NA,All,36,2010,2009,3,3175,44913
National,NA,All,37,2010,2009,4,3198,45301
National,NA,All,38,2010,2009,1,3107,45165
National,NA,All,39,2010,2009,6,3222,45357
National,NA,All,40,2010,2010,5,3263,46636
National,NA,All,41,2010,2010,7,3466,46617
National,NA,All,42,2010,2010,3,3432,47142
National,NA,All,43,2010,2010,5,3503,46620
National,NA,All,44,2010,2010,5,3505,47490
National,NA,All,45,2010,2010,3,3615,48474
National,NA,All,46,2010,2010,9,3549,48186
National,NA,All,47,2010,2010,13,3613,47812
National,NA,All,48,2010,2010,9,3864,48954
National,NA,All,49,2010,2010,13,3838,50365
National,NA,All,50,2010,2010,12,4040,51290
National,NA,All,51,2010,2010,18,4107,50928
National,NA,All,52,2010,2010,30,4581,52807
National,NA,All,01,2011,2010,53,4817,53608
National,NA,All,02,2011,2010,66,4725,52850
National,NA,All,03,2011,2010,67,4715,52597
National,NA,All,04,2011,2010,88,4820,52455
National,NA,All,05,2011,2010,106,4705,52201
National,NA,All,06,2011,2010,150,4755,52927
National,NA,All,07,2011,2010,192,4970,53560
National,NA,All,08,2011,2010,173,5013,52444
National,NA,All,09,2011,2010,183,4822,52343
National,NA,All,10,2011,2010,165,4727,51830
National,NA,All,11,2011,2010,148,4500,50859
National,NA,All,12,2011,2010,94,4339,49874
National,NA,All,13,2011,2010,79,4190,49504
National,NA,All,14,2011,2010,76,4064,49860
National,NA,All,15,2011,2010,47,3965,48342
National,NA,All,16,2011,2010,32,3896,48019
National,NA,All,17,2011,2010,13,3696,47592
National,NA,All,18,2011,2010,20,3747,47445
National,NA,All,19,2011,2010,3,3739,47544
National,NA,All,20,2011,2010,7,3580,46690
National,NA,All,21,2011,2010,5,3550,46662
National,NA,All,22,2011,2010,5,3498,46317
National,NA,All,23,2011,2010,3,3462,46594
National,NA,All,24,2011,2010,5,3341,46059
National,NA,All,25,2011,2010,2,3336,45804
National,NA,All,26,2011,2010,3,3348,46030
National,NA,All,27,2011,2010,1,3193,45759
National,NA,All,28,2011,2010,2,3149,45380
National,NA,All,29,2011,2010,3,3190,45774
National,NA,All,30,2011,2010,3,2997,45068
National,NA,All,31,2011,2010,1,3002,45766
National,NA,All,32,2011,2010,2,3030,45366
National,NA,All,33,2011,2010,1,2981,45079
National,NA,All,34,2011,2010,3,3072,45006
National,NA,All,35,2011,2010,4,3075,45606
National,NA,All,36,2011,2010,2,3003,45206
National,NA,All,37,2011,2010,2,3042,45145
National,NA,All,38,2011,2010,1,3211,46117
National,NA,All,39,2011,2010,1,3167,45441
National,NA,All,40,2011,2011,4,3259,46853
National,NA,All,41,2011,2011,5,3406,46877
National,NA,All,42,2011,2011,5,3325,47007
National,NA,All,43,2011,2011,4,3384,47161
National,NA,All,44,2011,2011,8,3497,48244
National,NA,All,45,2011,2011,6,3671,48759
National,NA,All,46,2011,2011,2,3645,48205
National,NA,All,47,2011,2011,8,3562,47400
National,NA,All,48,2011,2011,8,3655,47740
National,NA,All,49,2011,2011,1,3761,48960
National,NA,All,50,2011,2011,8,3854,49217
National,NA,All,51,2011,2011,8,3837,49499
National,NA,All,52,2011,2011,10,3986,50089
National,NA,All,01,2012,2011,10,4360,51630
National,NA,All,02,2012,2011,7,4262,51171
National,NA,All,03,2012,2011,9,4274,51088
National,NA,All,04,2012,2011,11,4232,50238
National,NA,All,05,2012,2011,9,4029,49642
National,NA,All,06,2012,2011,19,4027,49912
National,NA,All,07,2012,2011,15,4133,50720
National,NA,All,08,2012,2011,29,4195,50950
National,NA,All,09,2012,2011,43,4238,50942
National,NA,All,10,2012,2011,59,4351,50828
National,NA,All,11,2012,2011,62,4300,50844
National,NA,All,12,2012,2011,57,4065,49361
National,NA,All,13,2012,2011,55,3802,48363
National,NA,All,14,2012,2011,48,3830,48443
National,NA,All,15,2012,2011,23,3761,49119
National,NA,All,16,2012,2011,37,3697,48946
National,NA,All,17,2012,2011,37,3578,48173
National,NA,All,18,2012,2011,27,3533,47834
National,NA,All,19,2012,2011,15,3333,46782
National,NA,All,20,2012,2011,16,3335,47054
National,NA,All,21,2012,2011,14,3295,46809
National,NA,All,22,2012,2011,8,3144,46099
National,NA,All,23,2012,2011,9,3075,46419
National,NA,All,24,2012,2011,4,3158,46865
National,NA,All,25,2012,2011,2,3152,46199
National,NA,All,26,2012,2011,3,3162,46152
National,NA,All,27,2012,2011,6,3008,46783
National,NA,All,28,2012,2011,2,3042,46012
National,NA,All,29,2012,2011,1,3019,46016
National,NA,All,30,2012,2011,1,2890,45729
National,NA,All,31,2012,2011,1,3042,45987
National,NA,All,32,2012,2011,5,3044,46402
National,NA,All,33,2012,2011,4,3023,45967
National,NA,All,34,2012,2011,4,2968,46257
National,NA,All,35,2012,2011,5,3021,46391
National,NA,All,36,2012,2011,2,3112,46744
National,NA,All,37,2012,2011,0,3167,46396
National,NA,All,38,2012,2011,1,3122,46489
National,NA,All,39,2012,2011,2,3222,47523
National,NA,All,40,2012,2012,5,3218,47995
National,NA,All,41,2012,2012,6,3324,48131
National,NA,All,42,2012,2012,7,3383,48831
National,NA,All,43,2012,2012,6,3382,47811
National,NA,All,44,2012,2012,3,3355,49035
National,NA,All,45,2012,2012,9,3441,50087
National,NA,All,46,2012,2012,20,3500,49825
